participant_id,bundle_url,scene_1_no,scene_1_event_id,scene_1_task,scene_1_interactiveobj,scene_1_dir,scene_2_no,scene_2_event_id,scene_2_task,scene_2_interactiveobj,scene_2_dir,scene_3_no,scene_3_event_id,scene_3_task,scene_3_interactiveobj,scene_3_dir,scene_4_no,scene_4_event_id,scene_4_task,scene_4_interactiveobj,scene_4_dir,scene_5_no,scene_5_event_id,scene_5_task,scene_5_interactiveobj,scene_5_dir
P034,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P034,14,0007,continue,office_trashcan_0001,office_1_0007_continue_trashcan_0001_proposal_human_node_O_14_crop_frame_000026_stamp_444450006622_standing,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,4,0027,warn,hospital_plasticbox_0001,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,28,0022,monitor,office_largebox_0002,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking
P035,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P035,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,21,0012,monitor,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking,57,0024,warn,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting
P036,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P036,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,51,0004,monitor,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,10,0041,continue,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,46,0051,assist,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,40,0036,warn,office_largebox_0001,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking
P037,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P037,45,0048,avoid,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,36,0031,continue,office_sm_plant12,office_1_0031_continue_sm_plant12_proposal_human_node_O_149_crop_frame_000236_stamp_407350006069_carrying,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,7,0034,monitor,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,33,0027,assist,office_instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying
P038,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P038,65,0088,continue,warehouse_smallbox_0001,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,35,0029,monitor,office_woodchair_0001,office_1_0029_monitor_woodchair_0001_proposal_human_node_O_86_crop_frame_000253_stamp_492600007340_lifting,64,0085,assist,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,40,0036,warn,office_largebox_0001,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking
P039,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P039,6,0033,avoid,hospital_plasticbox_0001,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,30,0024,warn,office_woodchair_0001,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,9,0037,monitor,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,12,0001,continue,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing
P040,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P040,18,0011,assist,office_suitcase_0001,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,12,0001,continue,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,28,0022,monitor,office_largebox_0002,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking,57,0024,warn,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing,38,0033,avoid,office_woodchair_0001,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing
P041,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P041,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,44,0044,continue,office_smalltable_0001,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,13,0005,avoid,office_largetable_0001,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,52,0008,monitor,warehouse_trashcan_0001,warehouse_1_0008_monitor_trashcan_0001_proposal_human_node_O_27_crop_frame_000054_stamp_62900000937_kicking
P042,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P042,64,0085,assist,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,44,0044,continue,office_smalltable_0001,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,48,0071,warn,office_largetable_0002,office_1_0071_warn_largetable_0002_proposal_human_node_O_178_crop_frame_000372_stamp_361100005380_carrying,28,0022,monitor,office_largebox_0002,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking
P043,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P043,17,0010,continue,office_suitcase_0001,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,38,0033,avoid,office_woodchair_0001,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,43,0043,monitor,office_plasticbox_0001,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying
P044,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P044,31,0025,assist,office_suitcase_0001,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking,34,0029,avoid,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,26,0019,warn,office_monitor_0001,office_1_0019_warn_monitor_0001_proposal_human_node_O_29_crop_frame_000120_stamp_224500003345_kicking,53,0012,monitor,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying
P045,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P045,10,0041,continue,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,54,0014,warn,warehouse_tripod_0001,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,13,0005,avoid,office_largetable_0001,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,59,0042,assist,warehouse_largebox_0002,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding,9,0037,monitor,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking
P046,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P046,18,0011,assist,office_suitcase_0001,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,65,0088,continue,warehouse_smallbox_0001,warehouse_1_0088_continue_smallbox_0001_proposal_human_node_O_138_crop_frame_000458_stamp_148700002215_carrying,23,0016,warn,office_monitor_0004,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,5,0031,avoid,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,43,0043,monitor,office_plasticbox_0001,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking
P047,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P047,43,0043,monitor,office_plasticbox_0001,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,64,0085,assist,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,23,0016,warn,office_monitor_0004,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,17,0010,continue,office_suitcase_0001,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,58,0036,avoid,warehouse_largebox_0002,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying
P048,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P048,24,0017,avoid,office_monitor_0001,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,21,0012,monitor,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,12,0001,continue,office_largebox_0001,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,54,0014,warn,warehouse_tripod_0001,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,59,0042,assist,warehouse_largebox_0002,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding
P049,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P049,9,0037,monitor,hospital_suitcase_0001,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,62,0081,continue,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,38,0033,avoid,office_woodchair_0001,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing,31,0025,assist,office_suitcase_0001,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,63,0083,warn,warehouse_plasticbox_0001,warehouse_1_0083_warn_plasticbox_0001_proposal_human_node_O_112_crop_frame_000420_stamp_138900002069_kicking
P050,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P050,2,0021,monitor,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,45,0048,avoid,office_clothesstand_0001,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,16,0008,warn,office_sm_chair_407,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,62,0081,continue,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,20,0012,assist,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying
P051,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P051,41,0038,assist,office_clothesstand_0001,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,51,0004,monitor,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,39,0036,continue,office_largebox_0002,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying,61,0079,avoid,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,57,0024,warn,warehouse_largebox_0002,warehouse_1_0024_warn_largebox_0002_proposal_human_node_O_58_crop_frame_000163_stamp_85250001270_throwing
P052,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P052,4,0027,warn,hospital_plasticbox_0001,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,1,0004,monitor,hospital_trashcan_0001,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,49,0074,avoid,office_largetable_0002,office_1_0074_avoid_largetable_0002_proposal_human_node_O_178_crop_frame_000376_stamp_362450005400_carrying,8,0036,assist,hospital_suitcase_0001,hospital_1_0036_assist_suitcase_0001_proposal_human_node_O_97_crop_frame_000336_stamp_79050001177_lifting,39,0036,continue,office_largebox_0002,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying
P053,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P053,7,0034,monitor,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,55,0015,continue,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,34,0029,avoid,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,23,0016,warn,office_monitor_0004,office_1_0016_warn_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587850008759_dropping,37,0032,assist,office_largebox_0001,office_1_0032_assist_largebox_0001_proposal_human_node_O_149_crop_frame_000246_stamp_409200006097_carrying
P054,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P054,6,0033,avoid,hospital_plasticbox_0001,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,16,0008,warn,office_sm_chair_407,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,21,0012,monitor,office_suitcase_0001,office_1_0012_monitor_suitcase_0001_proposal_human_node_O_21_crop_frame_000067_stamp_299050004456_kicking,56,0022,assist,warehouse_woodchair_0001,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking
P055,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P055,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,60,0047,avoid,warehouse_plasticbox_0001,warehouse_1_0047_avoid_plasticbox_0001_proposal_human_node_O_16_crop_frame_000248_stamp_100050001490_lifting,7,0034,monitor,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,37,0032,assist,office_largebox_0001,office_1_0032_assist_largebox_0001_proposal_human_node_O_149_crop_frame_000246_stamp_409200006097_carrying
P056,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P056,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,47,0057,warn,office_monitor_0005,office_1_0057_warn_monitor_0005_proposal_human_node_O_201_crop_frame_000328_stamp_350100005216_placing,22,0015,avoid,office_monitor_0004,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,2,0021,monitor,hospital_tripod_0001,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,33,0027,assist,office_instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying
P057,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P057,43,0043,monitor,office_plasticbox_0001,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,44,0044,continue,office_smalltable_0001,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,59,0042,assist,warehouse_largebox_0002,warehouse_1_0042_assist_largebox_0002_proposal_human_node_O_58_crop_frame_000205_stamp_92200001373_holding,60,0047,avoid,warehouse_plasticbox_0001,warehouse_1_0047_avoid_plasticbox_0001_proposal_human_node_O_16_crop_frame_000248_stamp_100050001490_lifting
P058,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P058,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,10,0041,continue,hospital_tripod_0001,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,20,0012,assist,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,13,0005,avoid,office_largetable_0001,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,25,0018,monitor,office_plasticbox_0001,office_1_0018_monitor_plasticbox_0001_proposal_human_node_O_83_crop_frame_000097_stamp_381500005684_kicking
P059,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P059,17,0010,continue,office_suitcase_0001,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,5,0031,avoid,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,20,0012,assist,office_monitor_0004,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,16,0008,warn,office_sm_chair_407,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,51,0004,monitor,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking
P060,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P060,62,0081,continue,warehouse_tripod_0001,warehouse_1_0081_continue_tripod_0001_proposal_human_node_O_14_crop_frame_000415_stamp_137700002051_carrying,18,0011,assist,office_suitcase_0001,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,51,0004,monitor,warehouse_plasticbox_0001,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,34,0029,avoid,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,3,0023,warn,hospital_tripod_0001,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping
P061,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P061,36,0031,continue,office_sm_plant12,office_1_0031_continue_sm_plant12_proposal_human_node_O_149_crop_frame_000236_stamp_407350006069_carrying,7,0034,monitor,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,64,0085,assist,warehouse_plasticbox_0001,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,40,0036,warn,office_largebox_0001,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking,61,0079,avoid,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying
P062,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P062,33,0027,assist,office_instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying,1,0004,monitor,hospital_trashcan_0001,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,54,0014,warn,warehouse_tripod_0001,warehouse_1_0014_warn_tripod_0001_proposal_human_node_O_14_crop_frame_000084_stamp_68550001021_dropping,5,0031,avoid,hospital_tripod_0001,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,19,0011,continue,office_plasticbox_0001,office_1_0011_continue_plasticbox_0001_proposal_human_node_O_83_crop_frame_000081_stamp_378600005641_walking
P063,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P063,53,0012,monitor,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,42,0040,assist,office_monitor_0002,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,26,0019,warn,office_monitor_0001,office_1_0019_warn_monitor_0001_proposal_human_node_O_29_crop_frame_000120_stamp_224500003345_kicking,14,0007,continue,office_trashcan_0001,office_1_0007_continue_trashcan_0001_proposal_human_node_O_14_crop_frame_000026_stamp_444450006622_standing
P064,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P064,55,0015,continue,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,31,0025,assist,office_suitcase_0001,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,63,0083,warn,warehouse_plasticbox_0001,warehouse_1_0083_warn_plasticbox_0001_proposal_human_node_O_112_crop_frame_000420_stamp_138900002069_kicking,61,0079,avoid,warehouse_tripod_0001,warehouse_1_0079_avoid_tripod_0001_proposal_human_node_O_14_crop_frame_000409_stamp_136200002029_carrying,35,0029,monitor,office_woodchair_0001,office_1_0029_monitor_woodchair_0001_proposal_human_node_O_86_crop_frame_000253_stamp_492600007340_lifting
P065,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P065,53,0012,monitor,warehouse_tripod_0001,warehouse_1_0012_monitor_tripod_0001_proposal_human_node_O_14_crop_frame_000068_stamp_65900000981_carrying,16,0008,warn,office_sm_chair_407,office_1_0008_warn_sm_chair_407_proposal_human_node_O_28_crop_frame_000053_stamp_372650005552_putting_down,29,0023,avoid,office_plasticbox_0001,office_1_0023_avoid_plasticbox_0001_proposal_human_node_O_83_crop_frame_000105_stamp_383600005716_kicking,56,0022,assist,warehouse_woodchair_0001,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,32,0026,continue,office_woodchair_0001,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying
P066,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P066,34,0029,avoid,office_largebox_0002,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,25,0018,monitor,office_plasticbox_0001,office_1_0018_monitor_plasticbox_0001_proposal_human_node_O_83_crop_frame_000097_stamp_381500005684_kicking,46,0051,assist,office_sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,55,0015,continue,warehouse_smallklt_visual_169,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing
P067,https://robot-reasoning-proactive-task-navigation.streamlit.app/?bundle=P067,58,0036,avoid,warehouse_largebox_0002,warehouse_1_0036_avoid_largebox_0002_proposal_human_node_O_58_crop_frame_000183_stamp_88550001319_carrying,7,0034,monitor,hospital_plasticbox_0001,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,18,0011,assist,office_suitcase_0001,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,15,0007,warn,office_monitor_0002,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,50,0002,continue,warehouse_plasticbox_0001,warehouse_1_0002_continue_plasticbox_0001_proposal_human_node_O_16_crop_frame_000024_stamp_57250000853_kicking
