participant_id,scene_1_no,scene_1_event_id,scene_1_task,scene_1_environment,scene_1_object_label,scene_1_object_category,scene_1_dir,scene_1_url_anchor,scene_2_no,scene_2_event_id,scene_2_task,scene_2_environment,scene_2_object_label,scene_2_object_category,scene_2_dir,scene_2_url_anchor,scene_3_no,scene_3_event_id,scene_3_task,scene_3_environment,scene_3_object_label,scene_3_object_category,scene_3_dir,scene_3_url_anchor,scene_4_no,scene_4_event_id,scene_4_task,scene_4_environment,scene_4_object_label,scene_4_object_category,scene_4_dir,scene_4_url_anchor,scene_5_no,scene_5_event_id,scene_5_task,scene_5_environment,scene_5_object_label,scene_5_object_category,scene_5_dir,scene_5_url_anchor
P045,7,0022,assist,warehouse,woodchair_0001,woodchair,warehouse_1_0022_assist_woodchair_0001_proposal_human_node_O_105_crop_frame_000127_stamp_75800001129_carrying,#scene-007-0022-warehouse-assist,25,0011,continue,office,plasticbox_0001,plasticbox,office_1_0011_continue_plasticbox_0001_proposal_human_node_O_83_crop_frame_000081_stamp_378600005641_walking,#scene-025-0011-office-continue,40,0029,avoid,office,largebox_0002,largebox,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,#scene-040-0029-office-avoid,,,,,,,,,,,,,,,,
P046,6,0015,continue,warehouse,smallklt_visual_169,smallklt_visual,warehouse_1_0015_continue_smallklt_visual_169_proposal_human_node_O_60_crop_frame_000085_stamp_68850001025_placing,#scene-006-0015-warehouse-continue,28,0015,avoid,office,monitor_0004,monitor,office_1_0015_avoid_monitor_0004_proposal_human_node_O_66_crop_frame_000354_stamp_587750008758_lifting,#scene-028-0015-office-avoid,46,0036,warn,office,largebox_0001,largebox,office_1_0036_warn_largebox_0001_proposal_human_node_O_149_crop_frame_000267_stamp_412550006147_kicking,#scene-046-0036-office-warn,,,,,,,,,,,,,,,,
P047,15,0085,assist,warehouse,plasticbox_0001,plasticbox,warehouse_1_0085_assist_plasticbox_0001_proposal_human_node_O_112_crop_frame_000436_stamp_143250002134_lifting,#scene-015-0085-warehouse-assist,54,0071,warn,office,largetable_0002,largetable,office_1_0071_warn_largetable_0002_proposal_human_node_O_178_crop_frame_000372_stamp_361100005380_carrying,#scene-054-0071-office-warn,33,0020,monitor,office,largebox_0001,largebox,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-033-0020-office-monitor,,,,,,,,,,,,,,,,
P048,2,0004,monitor,warehouse,plasticbox_0001,plasticbox,warehouse_1_0004_monitor_plasticbox_0001_proposal_human_node_O_16_crop_frame_000026_stamp_57650000859_kicking,#scene-002-0004-warehouse-monitor,50,0044,continue,office,smalltable_0001,smalltable,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,#scene-050-0044-office-continue,36,0024,warn,office,woodchair_0001,woodchair,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-036-0024-office-warn,,,,,,,,,,,,,,,,
P049,64,0037,monitor,hospital,suitcase_0001,suitcase,hospital_1_0037_monitor_suitcase_0001_proposal_human_node_O_97_crop_frame_000341_stamp_79950001191_kicking,#scene-064-0037-hospital-monitor,20,0007,continue,office,trashcan_0001,trashcan,office_1_0007_continue_trashcan_0001_proposal_human_node_O_14_crop_frame_000026_stamp_444450006622_standing,#scene-020-0007-office-continue,30,0017,avoid,office,monitor_0001,monitor,office_1_0017_avoid_monitor_0001_proposal_human_node_O_29_crop_frame_000112_stamp_223150003325_carrying,#scene-030-0017-office-avoid,,,,,,,,,,,,,,,,
P050,60,0031,avoid,hospital,tripod_0001,tripod,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,#scene-060-0031-hospital-avoid,26,0012,assist,office,monitor_0004,monitor,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,#scene-026-0012-office-assist,34,0022,monitor,office,largebox_0002,largebox,office_1_0022_monitor_largebox_0002_proposal_human_node_O_43_crop_frame_000133_stamp_226850003380_kicking,#scene-034-0022-office-monitor,,,,,,,,,,,,,,,,
P051,56,0004,monitor,hospital,trashcan_0001,trashcan,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,#scene-056-0004-hospital-monitor,36,0024,warn,office,woodchair_0001,woodchair,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-036-0024-office-warn,47,0038,assist,office,clothesstand_0001,clothesstand,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,#scene-047-0038-office-assist,,,,,,,,,,,,,,,,
P052,58,0023,warn,hospital,tripod_0001,tripod,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,#scene-058-0023-hospital-warn,40,0029,avoid,office,largebox_0002,largebox,office_1_0029_avoid_largebox_0002_proposal_human_node_O_43_crop_frame_000153_stamp_231150003444_kicking,#scene-040-0029-office-avoid,37,0025,assist,office,suitcase_0001,suitcase,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,#scene-037-0025-office-assist,,,,,,,,,,,,,,,,
P053,60,0031,avoid,hospital,tripod_0001,tripod,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,#scene-060-0031-hospital-avoid,23,0010,continue,office,suitcase_0001,suitcase,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,#scene-023-0010-office-continue,31,0018,monitor,office,plasticbox_0001,plasticbox,office_1_0018_monitor_plasticbox_0001_proposal_human_node_O_83_crop_frame_000097_stamp_381500005684_kicking,#scene-031-0018-office-monitor,,,,,,,,,,,,,,,,
P054,61,0033,avoid,hospital,plasticbox_0001,plasticbox,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,#scene-061-0033-hospital-avoid,47,0038,assist,office,clothesstand_0001,clothesstand,office_1_0038_assist_clothesstand_0001_proposal_human_node_O_96_crop_frame_000282_stamp_257100003831_lifting,#scene-047-0038-office-assist,45,0036,continue,office,largebox_0002,largebox,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying,#scene-045-0036-office-continue,,,,,,,,,,,,,,,,
P055,57,0021,monitor,hospital,tripod_0001,tripod,hospital_1_0021_monitor_tripod_0001_proposal_human_node_O_82_crop_frame_000242_stamp_62150000926_lifting,#scene-057-0021-hospital-monitor,36,0024,warn,office,woodchair_0001,woodchair,office_1_0024_warn_woodchair_0001_proposal_human_node_O_86_crop_frame_000241_stamp_490300007306_carrying,#scene-036-0024-office-warn,18,0001,continue,office,largebox_0001,largebox,office_1_0001_continue_largebox_0001_proposal_human_node_O_0_crop_frame_000001_stamp_285200004249_standing,#scene-018-0001-office-continue,,,,,,,,,,,,,,,,
P056,62,0034,monitor,hospital,plasticbox_0001,plasticbox,hospital_1_0034_monitor_plasticbox_0001_proposal_human_node_O_132_crop_frame_000375_stamp_180450002688_kicking,#scene-062-0034-hospital-monitor,50,0044,continue,office,smalltable_0001,smalltable,office_1_0044_continue_smalltable_0001_proposal_human_node_O_175_crop_frame_000265_stamp_336300005011_standing,#scene-050-0044-office-continue,24,0011,assist,office,suitcase_0001,suitcase,office_1_0011_assist_suitcase_0001_proposal_human_node_O_21_crop_frame_000041_stamp_293400004372_carrying,#scene-024-0011-office-assist,,,,,,,,,,,,,,,,
P057,58,0023,warn,hospital,tripod_0001,tripod,hospital_1_0023_warn_tripod_0001_proposal_human_node_O_82_crop_frame_000254_stamp_64250000957_dropping,#scene-058-0023-hospital-warn,37,0025,assist,office,suitcase_0001,suitcase,office_1_0025_assist_suitcase_0001_proposal_human_node_O_134_crop_frame_000140_stamp_389950005810_carrying,#scene-037-0025-office-assist,49,0043,monitor,office,plasticbox_0001,plasticbox,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,#scene-049-0043-office-monitor,,,,,,,,,,,,,,,,
P058,56,0004,monitor,hospital,trashcan_0001,trashcan,hospital_1_0004_monitor_trashcan_0001_proposal_human_node_O_29_crop_frame_000149_stamp_229400003418_kicking,#scene-056-0004-hospital-monitor,44,0033,avoid,office,woodchair_0001,woodchair,office_1_0033_avoid_woodchair_0001_proposal_human_node_O_86_crop_frame_000262_stamp_494650007370_placing,#scene-044-0033-office-avoid,48,0040,assist,office,monitor_0002,monitor,office_1_0040_assist_monitor_0002_proposal_human_node_O_63_crop_frame_000207_stamp_325000004842_carrying,#scene-048-0040-office-assist,,,,,,,,,,,,,,,,
P059,60,0031,avoid,hospital,tripod_0001,tripod,hospital_1_0031_avoid_tripod_0001_proposal_human_node_O_82_crop_frame_000299_stamp_72450001079_holding,#scene-060-0031-hospital-avoid,45,0036,continue,office,largebox_0002,largebox,office_1_0036_continue_largebox_0002_proposal_human_node_O_43_crop_frame_000199_stamp_239600003570_carrying,#scene-045-0036-office-continue,32,0019,warn,office,monitor_0001,monitor,office_1_0019_warn_monitor_0001_proposal_human_node_O_29_crop_frame_000120_stamp_224500003345_kicking,#scene-032-0019-office-warn,,,,,,,,,,,,,,,,
P060,65,0041,continue,hospital,tripod_0001,tripod,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,#scene-065-0041-hospital-continue,52,0051,assist,office,sm_briefcase3,sm_briefcase3,office_1_0051_assist_sm_briefcase3_proposal_human_node_O_178_crop_frame_000278_stamp_339500005058_carrying,#scene-052-0051-office-assist,49,0043,monitor,office,plasticbox_0001,plasticbox,office_1_0043_monitor_plasticbox_0001_proposal_human_node_O_49_crop_frame_000219_stamp_327400004878_kicking,#scene-049-0043-office-monitor,,,,,,,,,,,,,,,,
P061,61,0033,avoid,hospital,plasticbox_0001,plasticbox,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,#scene-061-0033-hospital-avoid,23,0010,continue,office,suitcase_0001,suitcase,office_1_0010_continue_suitcase_0001_proposal_human_node_O_21_crop_frame_000033_stamp_292000004351_carrying,#scene-023-0010-office-continue,17,0001,assist,office,largetable_0001,largetable,office_1_0001_assist_largetable_0001_proposal_human_node_O_19_crop_frame_000047_stamp_211000003144_lifting,#scene-017-0001-office-assist,,,,,,,,,,,,,,,,
P062,65,0041,continue,hospital,tripod_0001,tripod,hospital_1_0041_continue_tripod_0001_proposal_human_node_O_82_crop_frame_000387_stamp_87900001309_putting_down,#scene-065-0041-hospital-continue,33,0020,monitor,office,largebox_0001,largebox,office_1_0020_monitor_largebox_0001_proposal_human_node_O_7_crop_frame_000126_stamp_225600003361_kicking,#scene-033-0020-office-monitor,39,0027,assist,office,instancedbp_door_250cm4,instancedbp_door_250cm4,office_1_0027_assist_instancedbp_door_250cm4_proposal_human_node_O_99_crop_frame_000414_stamp_598800008922_carrying,#scene-039-0027-office-assist,,,,,,,,,,,,,,,,
P063,61,0033,avoid,hospital,plasticbox_0001,plasticbox,hospital_1_0033_avoid_plasticbox_0001_proposal_human_node_O_132_crop_frame_000370_stamp_179700002677_kicking,#scene-061-0033-hospital-avoid,38,0026,continue,office,woodchair_0001,woodchair,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,#scene-038-0026-office-continue,21,0007,warn,office,monitor_0002,monitor,office_1_0007_warn_monitor_0002_proposal_human_node_O_28_crop_frame_000051_stamp_372350005548_dropping,#scene-021-0007-office-warn,,,,,,,,,,,,,,,,
P064,59,0027,warn,hospital,plasticbox_0001,plasticbox,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,#scene-059-0027-hospital-warn,51,0048,avoid,office,clothesstand_0001,clothesstand,office_1_0048_avoid_clothesstand_0001_proposal_human_node_O_96_crop_frame_000329_stamp_267450003985_standing,#scene-051-0048-office-avoid,38,0026,continue,office,woodchair_0001,woodchair,office_1_0026_continue_woodchair_0001_proposal_human_node_O_86_crop_frame_000244_stamp_491100007317_carrying,#scene-038-0026-office-continue,,,,,,,,,,,,,,,,
P065,59,0027,warn,hospital,plasticbox_0001,plasticbox,hospital_1_0027_warn_plasticbox_0001_proposal_human_node_O_132_crop_frame_000329_stamp_171750002559_kicking,#scene-059-0027-hospital-warn,26,0012,assist,office,monitor_0004,monitor,office_1_0012_assist_monitor_0004_proposal_human_node_O_66_crop_frame_000346_stamp_586300008736_carrying,#scene-026-0012-office-assist,19,0005,avoid,office,largetable_0001,largetable,office_1_0005_avoid_largetable_0001_proposal_human_node_O_19_crop_frame_000057_stamp_212700003169_lifting,#scene-019-0005-office-avoid,,,,,,,,,,,,,,,,
